,Farm Index,Arable Index,Pasture Index,Wood Index,Wheat,Rye,Barley,Oats,Peas,Beans,Potato,Hops Net Tax,Straw,Hay,Cheese,Butter,Milk,Wool,Beef,Mutton,Pork,Bacon,Tallow,Eggs,Firewood,Timber
unit,1860-9 = 100,1860-9 = 100,1860-9 = 100,,s./bu.,s./bu.,s./bu.,s./bu.,s./bu.,s./bu.,s./cwt.,s./cwt.,s./load,s./ton,d./lb.,d./lb.,d./gallon,d./lb.,d./lb.,d./lb.,d./lb.,d./lb.,d./lb.,d./doz.,s./100 faggots,d./ft3
index,farm,arable,pasture,wood,arable,arable,arable,arable,arable,arable,arable,arable,arable,pasture,pasture,pasture,pasture,pasture,pasture,pasture,pasture,pasture,pasture,pasture,wood,wood
1766,63.17,72.73,52.89,19.66,4.95,4.01,2.82,2.04,3.7,3.31,3.51,122.63,15.77,66.16,3.55,5.42,4.27,7.21,3.33,3.36,9.78,4.02,4.36,4.72,30.77,12.55
1767,65.48,78.14,52.56,19.61,6.35,3.84,3.16,1.96,3.68,3.04,3.31,78.89,12.01,52.07,3.57,5.45,4.68,6.46,3.69,3.69,10.32,3.95,4.49,5.11,29.14,13.2
1768,62.56,73.57,50.93,20.43,5.98,3.44,2.72,1.81,3.51,2.7,3.01,114.33,12.53,51.37,3.09,5.37,4.68,5.63,3.68,3.47,10.13,4.31,4.54,5.11,34.77,12
1769,57.11,62.7,50.37,20.32,4.88,3.36,2.17,1.64,2.97,2.89,1.88,93.46,14.07,53.81,3.17,5.39,4.68,5.47,3.59,3.36,10.13,3.87,4.56,5.05,31.72,13.02
1770,58.27,63.42,51.89,21.35,4.67,3.7,2.28,1.7,3.11,2.75,1.88,147.54,14.27,56.9,3.72,5.49,4.68,5.56,3.52,3.47,9.32,4.09,4.5,4.8,33.05,13.8
1771,65.69,77.12,53.72,20.33,5.89,4.87,3.2,2.08,3.79,3.16,2.24,121.87,13.17,59.65,3.61,5.61,4.55,6.23,3.65,3.64,10.13,4.35,4.43,5.11,32.02,12.91
1772,70.79,82.63,58.32,21.78,6.34,5.06,3.16,2.02,4.12,3.52,2.59,170.55,15.89,79.18,4,5.76,5.31,5.72,3.84,3.81,10.87,4.59,4.53,5.25,34.26,13.85
1773,73.38,86.11,59.91,23.78,6.38,4.07,3.54,2.14,4.19,3.55,2.14,148.53,19.36,86.64,4.11,5.88,5.31,6.11,3.78,3.87,10.32,4.82,4.44,5.34,38.61,14.65
1774,71.81,86.53,56.98,21.27,6.58,4.45,3.56,2.22,4.13,4,2.5,145.98,15.98,68.55,3.76,5.76,5.54,6.51,3.72,3.92,10.13,4.16,4.27,5.66,38.87,11.64
1775,69.45,81.58,56.6,22.9,6.04,4.25,3.24,2.06,4.01,3.35,2.24,97.31,19.49,68.73,3.58,5.37,5.54,6.67,3.69,3.85,9.74,4.5,4.31,5.36,39.35,13.33
1776,64.57,69.04,58.87,22.7,4.77,3.51,2.52,1.87,3.87,3.14,2.06,105.97,20.01,87.59,3.69,5.59,5.54,6.52,3.7,3.69,9.74,4.41,4.4,6.56,40.44,12.74
1777,68.02,76.15,58.73,22.9,5.69,3.58,2.56,1.95,3.85,3.29,2.34,89.27,22.31,87,3.6,5.9,5.76,6.11,3.73,3.69,9.74,4.44,4.39,5.75,40.44,12.97
1778,64.85,70.6,57.7,23.95,5.24,3.33,2.83,1.89,4.08,3.03,2.61,97.82,13.3,70.35,4,6.35,5.98,5.39,3.68,3.87,10,4.56,4.39,5.56,41.16,13.94
1779,58.76,60.51,55.83,23.11,4.2,2.84,2.44,1.75,3.72,2.78,2.14,62.11,14.05,63.5,3.85,6.35,6.06,4.53,3.77,3.87,10,4.06,4.9,6.48,40.11,13.32
